DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"422-4",,126.7228146,"N",,"2025-05-12 14:04:39.000","2824562200","0900","2025",20,"N","농협(작전동지점)",,"N","3550180",10,"20240930","인천광역시 계양구 계양대로 40","20240520","Y","2021-06-10 13:34:29.000",,"1600","001",0,346,,"Y",37.5274672,2824500049,,"004"
"341-6",,126.7197702,"N","0900","2024-07-24 13:56:13.000","2820052000","0900","2025",15,"N","모래내시장역","1700","N","3530199",0,"20230825","인천광역시 남동구 구월로 지하255 (구월동)","20230731","Y","2023-08-20 10:33:14.000",,"1700","001",1,49.5,,"Y",37.4558909,2820000263,,"001"
"484-0",,126.6760679,"N",,"2025-05-13 19:21:49.000","2826055000","0900","2025",150,"N","서구노인복지관",,"N","3560247",53,"99991231","인천광역시 서구 신석로121번길 10","20210805","Y","2021-08-16 15:13:26.000",,"1800","001",25,4862,,"Y",37.5108172,2826000294,,"003"
"570-3",,126.755081,"N","0900","2025-05-09 13:49:07.000","4119269000","0900","2025",23,"N","하얀마을주공경로당","1700","N","3860514",2,"20240930","경기도 부천시 원미구 조마루로 104","20240520","Y","2021-04-20 16:33:37.000",,"1700","001",1,118.8,,"Y",37.499345,41190881,,"003"
"179-110",,126.3960743,"N",,"2025-05-12 12:57:19.000","2811063000","0900","2025",15,"N","신설마을경로당",,"N","3490218",1,"20240930","인천광역시 중구 마시란로 376-31 (을왕동)","20240624","Y","2021-03-29 14:06:27.000",,"1500","001",0,63,,"Y",37.4473763,281132,,"003"
"231-1",,126.729679,"N",,"2025-05-12 14:04:22.000","2824562100","0900","2025",15,"N","작전1동행정복지센터",,"N","3550180",1,"20240930","인천광역시 계양구 봉오대로 727","20240520","Y","2021-03-29 14:09:48.000",,"1800","001",3,49.58,,"Y",37.5308,282474,,"001"
"858-15",,126.7261382,"N",,"2025-05-12 14:05:25.000","2824562200","0900","2025",46,"N","작전2동경로당",,"N","3550180",3,"20240930","인천광역시 계양구 계산로126번길 33","20240520","Y","2021-03-29 14:09:48.000",,"1800","001",2,186,,"Y",37.5343246,282475,,"003"
"861-1",,126.7269328,"N",,"2025-05-12 14:05:39.000","2824562200","0900","2025",10,"N","코오롱아파트경로당",,"N","3550180",2,"20240930","인천광역시 계양구 봉오대로691번길 4 (작전동, 코오롱아파트)","20240520","Y","2021-03-29 14:09:48.000",,"1800","001",3,40,,"Y",37.5313291,282476,,"003"
"11-2",924242.21797,126.6443096,,,"2025-05-12 14:17:32.000","2818582000","0900","2025",20,,"NH농협은행송도금융센터",,,"3520229",1,"20240930","인천광역시 연수구 하모니로177번길 49 (송도동)","20240520","Y","2023-06-28 09:46:09.000",,"1600","001",,465,1931377.422112,"Y",37.3783833,2818500251,"은행담당자 정세훈 810-2433","004"
"917-1",926778.97492,126.6725725,,,"2025-05-12 14:01:43.000","2818578000","1800","2025",4,,"청은공원정자2",,,"3520222",,,"인천광역시 연수구 먼우금로161번길 34 (동춘동)",,"Y","2023-05-10 13:14:46.000",,"2400","001",,16,1935286.302162,"Y",37.4138174,2818500219,,"002"
"928-0",,126.6764588,,,"2025-05-12 14:04:19.000","2818579000","1000","2025",55,,"현대1차아파트경로당",,,"3520229",3,"20240930","인천광역시 연수구 원인재로 56","20240520","Y","2021-08-12 11:42:49.000",,"1800","001",0,180,,"Y",37.4035182,2818500059,,"003"
